date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:16:33	60156/60156	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Aug%202022%2004:16:33%20GMT	https://onhospital.org/page_yOTB45	C:/Users/em_co/Desktop/copy_site/on_hospiter/onhospital.org/page_yOTB45.html	(from https://onhospital.org/page_mDAb15)
13:16:33	59663/59663	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Aug%202022%2004:16:33%20GMT	https://onhospital.org/page_ELKC56	C:/Users/em_co/Desktop/copy_site/on_hospiter/onhospital.org/page_ELKC56.html	(from https://onhospital.org/page_mDAb15)
13:16:33	58759/58759	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Aug%202022%2004:16:33%20GMT	https://onhospital.org/page_dGxw80	C:/Users/em_co/Desktop/copy_site/on_hospiter/onhospital.org/page_dGxw80.html	(from https://onhospital.org/page_mDAb15)
13:16:34	59930/59930	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Aug%202022%2004:16:33%20GMT	https://onhospital.org/page_KRlF18	C:/Users/em_co/Desktop/copy_site/on_hospiter/onhospital.org/page_KRlF18.html	(from https://onhospital.org/page_mDAb15)
13:16:34	63351/63351	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Aug%202022%2004:16:34%20GMT	https://onhospital.org/page_BPWD12	C:/Users/em_co/Desktop/copy_site/on_hospiter/onhospital.org/page_BPWD12.html	(from https://onhospital.org/page_mDAb15)
13:16:34	59388/59388	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Aug%202022%2004:16:34%20GMT	https://onhospital.org/page_xqNe75	C:/Users/em_co/Desktop/copy_site/on_hospiter/onhospital.org/page_xqNe75.html	(from https://onhospital.org/page_mDAb15)
13:16:34	60531/60531	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Aug%202022%2004:16:34%20GMT	https://onhospital.org/page_GuYw83	C:/Users/em_co/Desktop/copy_site/on_hospiter/onhospital.org/page_GuYw83.html	(from https://onhospital.org/page_mDAb15)
13:16:35	57798/57798	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Aug%202022%2004:16:34%20GMT	https://onhospital.org/page_sXQz64	C:/Users/em_co/Desktop/copy_site/on_hospiter/onhospital.org/page_sXQz64.html	(from https://onhospital.org/page_mDAb15)
13:16:35	61897/61897	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Aug%202022%2004:16:35%20GMT	https://onhospital.org/page_BRuo25	C:/Users/em_co/Desktop/copy_site/on_hospiter/onhospital.org/page_BRuo25.html	(from https://onhospital.org/page_mDAb15)
13:16:35	57903/57903	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Aug%202022%2004:16:35%20GMT	https://onhospital.org/page_WnoD13	C:/Users/em_co/Desktop/copy_site/on_hospiter/onhospital.org/page_WnoD13.html	(from https://onhospital.org/page_mDAb15)
13:16:35	58507/58507	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Aug%202022%2004:16:35%20GMT	https://onhospital.org/page_CfKY54	C:/Users/em_co/Desktop/copy_site/on_hospiter/onhospital.org/page_CfKY54.html	(from https://onhospital.org/page_mDAb15)
13:16:36	58752/58752	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Aug%202022%2004:16:35%20GMT	https://onhospital.org/page_bSUU61	C:/Users/em_co/Desktop/copy_site/on_hospiter/onhospital.org/page_bSUU61.html	(from https://onhospital.org/page_mDAb15)
13:16:36	57043/57043	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Aug%202022%2004:16:35%20GMT	https://onhospital.org/page_EBOx51	C:/Users/em_co/Desktop/copy_site/on_hospiter/onhospital.org/page_EBOx51.html	(from https://onhospital.org/page_mDAb15)
13:16:36	61977/61977	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Aug%202022%2004:16:36%20GMT	https://onhospital.org/page_DMfA19	C:/Users/em_co/Desktop/copy_site/on_hospiter/onhospital.org/page_DMfA19.html	(from https://onhospital.org/page_mDAb15)
13:16:36	58256/58256	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Aug%202022%2004:16:36%20GMT	https://onhospital.org/page_BEyV28	C:/Users/em_co/Desktop/copy_site/on_hospiter/onhospital.org/page_BEyV28.html	(from https://onhospital.org/page_mDAb15)
13:16:37	59466/59466	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Aug%202022%2004:16:36%20GMT	https://onhospital.org/page_bhZe27	C:/Users/em_co/Desktop/copy_site/on_hospiter/onhospital.org/page_bhZe27.html	(from https://onhospital.org/page_mDAb15)
13:16:37	59823/59823	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Aug%202022%2004:16:36%20GMT	https://onhospital.org/page_BZNP48	C:/Users/em_co/Desktop/copy_site/on_hospiter/onhospital.org/page_BZNP48.html	(from https://onhospital.org/page_mDAb15)
13:16:37	58861/58861	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Aug%202022%2004:16:37%20GMT	https://onhospital.org/page_wDIS08	C:/Users/em_co/Desktop/copy_site/on_hospiter/onhospital.org/page_wDIS08.html	(from https://onhospital.org/page_mDAb15)
13:16:37	59891/59891	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Aug%202022%2004:16:37%20GMT	https://onhospital.org/page_dBiE85	C:/Users/em_co/Desktop/copy_site/on_hospiter/onhospital.org/page_dBiE85.html	(from https://onhospital.org/page_mDAb15)
